iter,lambda_1,lambda_0_1,lambda_0_0_1
1,9.818182171,9.818182171,9.818182171
2,18.00000011,18.00000011,18.00000011
3,18.00000011,12.00000006,16.00000006
4,18.00000011,0.8165479906,10.67210173
5,18.00000008,1.59E-14,0.5361844472
6,14.39781941,,1.58E-14
7,12.00000004,,
8,10.81604912,,
9,6.095580864,,
10,3.361794211,,
11,2.399637754,,
12,1.892274199,,
13,1.450341233,,
14,1.070973864,,
15,0.751830917,,
16,0.4909838789,,
17,0.2868314164,,
18,0.1380308721,,
19,0.04345306937,,
20,0.002138542268,,
21,1.67E-14,,